Issue Type,Issue Key,Summary,Description,Epic Link,Labels,Sprint,Story Points,Assignee,Custom Fields
Story,MTA-024,[MLE] Markov transition matrix and removal effect engine,"Primary: MLE | Support: AE

Acceptance Criteria: Stable channel removal scores",MTA-EPIC-6,"MLE,AE,mta-backlog,attribution,s6",S6,13,,Primary Owner: MLE; Support: AE
Story,MTA-025,[MLE] Normalization and attributed revenue allocation,"Primary: MLE | Support: AE

Acceptance Criteria: Revenue by channel reconciles to net total",MTA-EPIC-6,"MLE,AE,mta-backlog,attribution,s6",S6,8,,Primary Owner: MLE; Support: AE
Story,MTA-026,[MLE] Feature store for next-7-day propensity model,"Primary: MLE | Support: AE

Acceptance Criteria: Versioned feature sets generated daily",MTA-EPIC-7,"MLE,AE,mta-backlog,ml,s7",S7,8,,Primary Owner: MLE; Support: AE
Story,MTA-027,[MLE] Logistic regression training and calibration,"Primary: MLE | Support: AE

Acceptance Criteria: AUC and calibration meet thresholds",MTA-EPIC-7,"MLE,AE,mta-backlog,ml,s7",S7,8,,Primary Owner: MLE; Support: AE
Story,MTA-028,[MLE] Drift monitoring and retraining trigger policy,"Primary: MLE | Support: DE

Acceptance Criteria: Drift alerts fire on synthetic shift",MTA-EPIC-7,"MLE,DE,mta-backlog,ml,s7",S7,5,,Primary Owner: MLE; Support: DE
Story,MTA-029,[MLE] User segmentation with K-means and labeling,"Primary: MLE | Support: BI

Acceptance Criteria: Segments stable and interpretable",MTA-EPIC-7,"MLE,BI,mta-backlog,ml,s8",S8,8,,Primary Owner: MLE; Support: BI
Story,MTA-030,"[DE] Monte Carlo freshness, volume, schema monitors","Primary: DE | Support: AE

Acceptance Criteria: Alerts route with severity metadata",MTA-EPIC-8,"DE,AE,mta-backlog,observability,s8",S8,8,,Primary Owner: DE; Support: AE
Story,MTA-031,[DE] Pixel downtime detector under active spend,"Primary: DE | Support: BI

Acceptance Criteria: Incident triggers when views collapse",MTA-EPIC-8,"DE,BI,mta-backlog,observability,s8",S8,5,,Primary Owner: DE; Support: BI
Story,MTA-032,[DE] PR pipeline for dbt tests and GE checkpoints,"Primary: DE | Support: AE

Acceptance Criteria: Failed checks block merge",MTA-EPIC-9,"DE,AE,mta-backlog,ci/cd,s8",S8,8,,Primary Owner: DE; Support: AE
Story,MTA-033,[BI] Metabase Attribution War dashboard,"Primary: BI | Support: AE

Acceptance Criteria: Last-touch vs Markov deltas validated",MTA-EPIC-10,"BI,AE,mta-backlog,bi,s9",S9,8,,Primary Owner: BI; Support: AE
Story,MTA-034,[BI] Channel waste report and efficiency heatmap,"Primary: BI | Support: AE

Acceptance Criteria: High-cost low-impact channels highlighted",MTA-EPIC-10,"BI,AE,mta-backlog,bi,s9",S9,5,,Primary Owner: BI; Support: AE
Story,MTA-035,[BI] Streamlit budget what-if simulator,"Primary: BI | Support: MLE

Acceptance Criteria: Scenario output aligned with model assumptions",MTA-EPIC-11,"BI,MLE,mta-backlog,bi/ml,s9",S9,13,,Primary Owner: BI; Support: MLE
Story,MTA-036,[BI] KPI glossary and board-facing metric definitions,"Primary: BI | Support: AE

Acceptance Criteria: Executive sign-off on metric definitions",MTA-EPIC-12,"BI,AE,mta-backlog,adoption,s10",S10,5,,Primary Owner: BI; Support: AE
Story,MTA-037,"[DE] Backfill, replay, and disaster recovery drill","Primary: DE | Support: AE

Acceptance Criteria: Recovery runbook proven in timed test",MTA-EPIC-13,"DE,AE,mta-backlog,hardening,s10",S10,8,,Primary Owner: DE; Support: AE
Story,MTA-038,[BI] End-to-end UAT with Marketing and Finance,"Primary: BI | Support: AE

Acceptance Criteria: Critical defects closed",MTA-EPIC-14,"BI,AE,mta-backlog,validation,s10",S10,5,,Primary Owner: BI; Support: AE
Story,MTA-039,[MLE] Pre/post budget reallocation experiment framework,"Primary: MLE | Support: BI

Acceptance Criteria: Uplift measurement approach approved",MTA-EPIC-15,"MLE,BI,mta-backlog,impact,s10",S10,8,,Primary Owner: MLE; Support: BI
Story,MTA-040,[AE] Thesis evidence pack and reproducibility appendix,"Primary: AE | Support: BI

Acceptance Criteria: Final package complete",MTA-EPIC-16,"AE,BI,mta-backlog,closeout,s10",S10,5,,Primary Owner: AE; Support: BI
